,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
231,2013,2013,WI,Wisconsin,Gender,Female,GEN,FEMALE,55,13.1,16.9,31.2,26.2,36.3,42.3,24.7,13.3
234,2003,2003,FL,Florida,Grade,9th,GRADE,GRADE09,12,16.1,19.6,31.3,15.0,58.9,42.1,17.8,57.3
236,2003,2003,UT,Utah,Gender,Male,GEN,MALE,49,13.3,11.7,29.4,31.0,39.4,42.6,26.3,28.1
237,2011,2011,NJ,New Jersey,Grade,12th,GRADE,GRADE12,34,21.1,24.8,38.9,35.4,28.6,32.0,21.9,31.6
239,2011,2011,WV,West Virginia,Gender,Male,GEN,MALE,54,14.0,16.2,21.7,20.1,47.0,43.7,30.8,28.0
240,2015,2015,FL,Florida,Grade,12th,GRADE,GRADE12,12,22.7,15.3,26.0,30.8,49.8,38.3,25.4,23.0
241,2015,2015,AR,Arkansas,Grade,10th,GRADE,GRADE10,5,15.0,12.2,22.1,13.7,40.9,40.0,28.6,29.1
244,2009,2009,GA,Georgia,Total,Total,OVR,OVERALL,13,15.3,13.1,14.5,15.6,39.2,38.1,26.5,24.6
245,2009,2009,HI,Hawaii,Gender,Male,GEN,MALE,15,14.2,14.2,18.4,11.0,43.8,51.3,19.6,5.8
247,2001,2001,TX,Texas,Grade,9th,GRADE,GRADE09,48,17.1,12.1,20.7,14.7,44.4,51.0,20.4,22.0
250,2017,2017,IL,Illinois,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,17,14.4,9.9,25.0,32.2,44.5,50.4,39.5,29.2
252,2013,2013,SC,South Carolina,Grade,10th,GRADE,GRADE10,45,20.5,28.9,30.6,22.7,51.7,45.4,23.2,15.4
254,2007,2007,OH,Ohio,Grade,10th,GRADE,GRADE10,39,17.7,14.7,21.2,12.7,44.7,45.7,18.2,11.5
